month,category,revenue
2016-11,industry_commerce_and_business,
2016-11,kitchen_dining_laundry_garden_furniture,
2016-11,la_cuisine,
2016-11,luggage_accessories,
2016-11,market_place,
2016-11,music,
2016-11,musical_instruments,
2016-11,office_furniture,
2016-11,party_supplies,
2016-11,pc_gamer,
2016-11,perfumery,
2016-11,pet_shop,
2016-11,portateis_cozinha_e_preparadores_de_alimentos,
2016-11,security_and_services,
2016-11,signaling_and_security,
2016-11,small_appliances,
2016-11,small_appliances_home_oven_and_coffee,
2016-11,sports_leisure,
2016-11,stationery,
2016-11,tablets_printing_image,
2016-11,telephony,
2016-11,toys,
2016-11,watches_gifts,
2016-12,Unknown,
2016-12,agro_industry_and_commerce,
2016-12,air_conditioning,
2016-12,art,
2016-12,arts_and_craftmanship,
2016-12,audio,
2016-12,auto,
2016-12,baby,
2016-12,bed_bath_table,
2016-12,books_general_interest,
2016-12,books_imported,
2016-12,books_technical,
2016-12,cds_dvds_musicals,
2016-12,christmas_supplies,
2016-12,cine_photo,
2016-12,computers,
2016-12,computers_accessories,
2016-12,consoles_games,
2016-12,construction_tools_construction,
2016-12,construction_tools_lights,
2016-12,construction_tools_safety,
2016-12,cool_stuff,
2016-12,costruction_tools_garden,
2016-12,costruction_tools_tools,
2016-12,diapers_and_hygiene,
2016-12,drinks,
2016-12,dvds_blu_ray,
2016-12,electronics,
2016-12,fashio_female_clothing,
2016-12,fashion_bags_accessories,10.9
2016-12,fashion_childrens_clothes,
2016-12,fashion_male_clothing,
2016-12,fashion_shoes,
2016-12,fashion_sport,
2016-12,fashion_underwear_beach,
2016-12,fixed_telephony,
2016-12,flowers,
2016-12,food,
2016-12,food_drink,
2016-12,furniture_bedroom,
2016-12,furniture_decor,
2016-12,furniture_living_room,
2016-12,furniture_mattress_and_upholstery,
2016-12,garden_tools,
2016-12,health_beauty,
2016-12,home_appliances,
2016-12,home_appliances_2,
2016-12,home_comfort_2,
2016-12,home_confort,
2016-12,home_construction,
2016-12,housewares,
2016-12,industry_commerce_and_business,
2016-12,kitchen_dining_laundry_garden_furniture,
2016-12,la_cuisine,
2016-12,luggage_accessories,
2016-12,market_place,
2016-12,music,
2016-12,musical_instruments,
2016-12,office_furniture,
2016-12,party_supplies,
2016-12,pc_gamer,
2016-12,perfumery,
2016-12,pet_shop,
2016-12,portateis_cozinha_e_preparadores_de_alimentos,
2016-12,security_and_services,
2016-12,signaling_and_security,
2016-12,small_appliances,
2016-12,small_appliances_home_oven_and_coffee,
2016-12,sports_leisure,
2016-12,stationery,
2016-12,tablets_printing_image,
2016-12,telephony,
2016-12,toys,
2016-12,watches_gifts,
2017-01,Unknown,1702.64
2017-01,agro_industry_and_commerce,65.97
2017-01,air_conditioning,663.7
2017-01,art,
2017-01,arts_and_craftmanship,
2017-01,audio,
2017-01,auto,5218.53
2017-01,baby,6397.87
2017-01,bed_bath_table,3960.16
2017-01,books_general_interest,234.89
2017-01,books_imported,
2017-01,books_technical,
2017-01,cds_dvds_musicals,
2017-01,christmas_supplies,
2017-01,cine_photo,
2017-01,computers,2199.99
2017-01,computers_accessories,3924.14
2017-01,consoles_games,5954.2
2017-01,construction_tools_construction,310.0
2017-01,construction_tools_lights,
2017-01,construction_tools_safety,
2017-01,cool_stuff,7784.87
2017-01,costruction_tools_garden,
2017-01,costruction_tools_tools,
2017-01,diapers_and_hygiene,
2017-01,drinks,
2017-01,dvds_blu_ray,29.8
2017-01,electronics,617.0
2017-01,fashio_female_clothing,77.3
2017-01,fashion_bags_accessories,1671.97
2017-01,fashion_childrens_clothes,
2017-01,fashion_male_clothing,126.9
2017-01,fashion_shoes,34.9
2017-01,fashion_sport,
2017-01,fashion_underwear_beach,137.25
2017-01,fixed_telephony,677.12
2017-01,flowers,
2017-01,food,42.82
2017-01,food_drink,
2017-01,furniture_bedroom,73.2
2017-01,furniture_decor,13521.31
2017-01,furniture_living_room,1241.9
2017-01,furniture_mattress_and_upholstery,
2017-01,garden_tools,8152.75
2017-01,health_beauty,12561.32
2017-01,home_appliances,
2017-01,home_appliances_2,2126.68
2017-01,home_comfort_2,72.8
2017-01,home_confort,
2017-01,home_construction,
2017-01,housewares,2827.58
2017-01,industry_commerce_and_business,
2017-01,kitchen_dining_laundry_garden_furniture,110.0
2017-01,la_cuisine,
2017-01,luggage_accessories,492.5
2017-01,market_place,447.04
2017-01,music,19.8
2017-01,musical_instruments,339.74
2017-01,office_furniture,1444.35
2017-01,party_supplies,
2017-01,pc_gamer,
2017-01,perfumery,5112.6
2017-01,pet_shop,967.12
2017-01,portateis_cozinha_e_preparadores_de_alimentos,
2017-01,security_and_services,183.29
2017-01,signaling_and_security,
2017-01,small_appliances,1660.79
2017-01,small_appliances_home_oven_and_coffee,
2017-01,sports_leisure,9717.62
2017-01,stationery,1561.99
2017-01,tablets_printing_image,
2017-01,telephony,2945.86
2017-01,toys,4814.09
2017-01,watches_gifts,8086.52
2017-02,Unknown,9034.1
2017-02,agro_industry_and_commerce,224.84
2017-02,air_conditioning,3095.3
2017-02,art,
2017-02,arts_and_craftmanship,
2017-02,audio,163.8
2017-02,auto,13162.4
2017-02,baby,3048.48
2017-02,bed_bath_table,16282.73
2017-02,books_general_interest,772.71
2017-02,books_imported,99.0
2017-02,books_technical,159.0
2017-02,cds_dvds_musicals,
2017-02,christmas_supplies,
2017-02,cine_photo,59.0
2017-02,computers,3549.0
2017-02,computers_accessories,11972.59
2017-02,consoles_games,4294.77
2017-02,construction_tools_construction,336.79
2017-02,construction_tools_lights,
2017-02,construction_tools_safety,379.0
2017-02,cool_stuff,13323.6
2017-02,costruction_tools_garden,579.98
2017-02,costruction_tools_tools,
2017-02,diapers_and_hygiene,
2017-02,drinks,
